LABEL;METRIC;STATISTIC;VALUE
Amygdala;AVGDIST;MEAN;2.5637885970272176
Amygdala;AVGDIST;STD;0.29449396991161697
Amygdala;DICE;MEAN;0.48436373909500324
Amygdala;DICE;STD;0.028446585869130986
Amygdala;HDRFDST;MEAN;67.26862355996498
Amygdala;HDRFDST;STD;1.957622115660485
Amygdala;HDRFDST95;MEAN;25.070400336898885
Amygdala;HDRFDST95;STD;5.803018778844367
Amygdala;PRCISON;MEAN;0.3870523897794715
Amygdala;PRCISON;STD;0.02986050677578714
Amygdala;SNSVTY;MEAN;0.6565903370807854
Amygdala;SNSVTY;STD;0.0737368959237733
Amygdala;VOLSMTY;MEAN;0.7447961692668097
Amygdala;VOLSMTY;STD;0.07293280885731339
GreyMatter;AVGDIST;MEAN;0.39500710094739105
GreyMatter;AVGDIST;STD;0.021223677290534253
GreyMatter;DICE;MEAN;0.6888453565586913
GreyMatter;DICE;STD;0.010801920024203836
GreyMatter;HDRFDST;MEAN;20.829476267730698
GreyMatter;HDRFDST;STD;1.0163259378977245
GreyMatter;HDRFDST95;MEAN;4.319045185441079
GreyMatter;HDRFDST95;STD;0.6677190173405494
GreyMatter;PRCISON;MEAN;0.538381606013303
GreyMatter;PRCISON;STD;0.01269560762256084
GreyMatter;SNSVTY;MEAN;0.9564399935211293
GreyMatter;SNSVTY;STD;0.010587896116810819
GreyMatter;VOLSMTY;MEAN;0.720272369123084
GreyMatter;VOLSMTY;STD;0.011901344098644349
Hippocampus;AVGDIST;MEAN;2.920303214883742
Hippocampus;AVGDIST;STD;0.16782163274675607
Hippocampus;DICE;MEAN;0.3844588807715516
Hippocampus;DICE;STD;0.01477718694510208
Hippocampus;HDRFDST;MEAN;75.34785840276592
Hippocampus;HDRFDST;STD;3.949713168919742
Hippocampus;HDRFDST95;MEAN;25.068464654703014
Hippocampus;HDRFDST95;STD;1.5722849156261323
Hippocampus;PRCISON;MEAN;0.24420526011624868
Hippocampus;PRCISON;STD;0.010963296397320589
Hippocampus;SNSVTY;MEAN;0.904934629248789
Hippocampus;SNSVTY;STD;0.03407333584978992
Hippocampus;VOLSMTY;MEAN;0.4251593030844584
Hippocampus;VOLSMTY;STD;0.01657282283771546
Thalamus;AVGDIST;MEAN;2.108743647466257
Thalamus;AVGDIST;STD;0.6446146008667508
Thalamus;DICE;MEAN;0.6600521804946711
Thalamus;DICE;STD;0.029817782228539553
Thalamus;HDRFDST;MEAN;62.64840419042618
Thalamus;HDRFDST;STD;5.610477020093095
Thalamus;HDRFDST95;MEAN;35.28205620635573
Thalamus;HDRFDST95;STD;4.997650433109038
Thalamus;PRCISON;MEAN;0.5191967417108374
Thalamus;PRCISON;STD;0.034938800104284566
Thalamus;SNSVTY;MEAN;0.9082767131571622
Thalamus;SNSVTY;STD;0.019362055799665233
Thalamus;VOLSMTY;MEAN;0.7267679396920337
Thalamus;VOLSMTY;STD;0.030376836106194568
WhiteMatter;AVGDIST;MEAN;0.35918764485419263
WhiteMatter;AVGDIST;STD;0.033197573271271125
WhiteMatter;DICE;MEAN;0.8086990951847935
WhiteMatter;DICE;STD;0.019249353759349004
WhiteMatter;HDRFDST;MEAN;23.118754346029657
WhiteMatter;HDRFDST;STD;2.9194515731442845
WhiteMatter;HDRFDST95;MEAN;3.8363070516249613
WhiteMatter;HDRFDST95;STD;0.6186664736775381
WhiteMatter;PRCISON;MEAN;0.6989166819725808
WhiteMatter;PRCISON;STD;0.03139058377722536
WhiteMatter;SNSVTY;MEAN;0.9608186654947388
WhiteMatter;SNSVTY;STD;0.005962313661185628
WhiteMatter;VOLSMTY;MEAN;0.8418179708540376
WhiteMatter;VOLSMTY;STD;0.024692163964118566
